2
433 6546
306 5 1520
391 3 1704
238 27 1502
229 45 1193
407 80 6577
184 240 4599
38 107 833
70 348 2825
375 71 5906
130 300 5792
375 428 2233
293 391 9583
174 327 9057
89 42 6873
319 392 206
174 202 8193
250 333 7947
104 403 8313
80 26 8254
419 148 3078
41 321 3457
2 382 8063
231 168 93
116 373 8023
288 110 7909
128 275 8204
4 275 7500
369 79 1193
219 164 8909
105 304 6094
205 360 8295
11 355 3383
13 256 9414
340 253 1536
384 318 941
41 303 6911
96 165 4042
376 29 3168
54 302 9817
355 76 7189
149 307 3781
91 171 5473
114 257 4550
362 384 3716
27 229 6197
409 236 2197
65 375 6260
123 9 6334
62 80 729
138 351 4052
65 170 5732
273 131 9225
138 289 2593
170 386 5929
85 24 9958
41 194 2590
389 255 8380
238 81 4826
369 58 3122
353 68 8528
407 12 9842
42 367 9005
398 411 8457
249 320 1259
142 122 5297
332 125 1512
361 19 3166
62 285 4300
122 170 787
254 346 2441
78 281 3748
280 62 7544
266 184 9301
384 54 7216
324 221 1357
335 97 4271
107 323 1802
177 328 2915
403 362 7589
111 217 2906
260 298 2917
153 244 6058
97 191 1552
370 363 5641
81 103 6957
86 361 1808
394 116 9137
314 190 971
80 393 4838
316 319 7509
124 64 7511
9 425 7389
31 264 9796
155 134 9539
317 389 4230
308 49 2811
417 344 3147
111 105 8401
44 166 9226
94 288 2760
59 143 5090
330 20 2669
298 142 3040
171 297 5504
355 301 3627
20 19 8767
243 213 1544
110 375 113
292 138 7388
203 332 7308
363 158 2780
80 286 9424
226 111 3297
415 129 5951
364 403 3025
314 389 533
31 139 7577
336 119 2350
55 226 3118
150 66 1070
292 382 3716
119 110 4917
190 306 5710
332 420 4946
321 79 9459
174 251 2535
11 71 4280
429 212 6896
368 225 5136
138 297 1872
28 128 2569
340 224 2315
162 279 131
118 50 2704
72 19 1890
123 165 1315
228 187 2449
109 306 6836
32 250 939
379 292 2147
185 201 7766
4 36 576
150 135 6352
126 383 8392
298 166 6292
199 356 5782
371 181 3746
234 419 1407
369 348 7466
425 41 1393
342 330 7905
397 203 7069
97 145 153
229 160 6514
330 207 3801
283 294 7825
360 20 8415
33 256 5260
45 196 8903
128 172 4479
431 395 212
27 276 1373
114 423 3924
379 14 4348
408 341 1700
250 119 4222
252 118 6875
340 194 1165
231 87 7575
157 297 6098
341 356 6178
127 90 4634
192 384 9339
356 4 2051
344 19 2105
100 433 1202
257 280 2418
81 179 2202
142 197 1961
19 17 9160
189 388 5192
416 399 664
428 158 6294
287 151 4938
58 325 6758
391 12 1905
217 248 4557
412 215 9479
25 241 5579
383 126 8111
371 24 4259
41 396 1528
256 42 348
163 85 1937
58 96 3347
38 370 6277
335 427 1301
406 135 8941
114 36 3066
6 307 1249
93 295 9588
103 349 612
278 404 5306
331 350 6657
242 326 3067
130 374 2991
407 362 7632
312 146 5757
221 296 9569
244 254 7380
90 111 1998
155 4 7669
4 396 8705
274 262 7751
123 199 9746
240 301 7797
66 95 162
90 176 1397
225 277 979
206 431 7190
287 99 8142
115 387 4443
354 18 1270
106 21 5322
283 181 4886
190 137 3308
357 223 3218
183 431 9563
145 266 7636
174 414 3206
258 128 4817
307 287 4760
288 119 3646
370 173 9484
144 56 6228
231 212 9646
180 193 9082
186 60 5815
325 428 8304
312 330 9767
23 76 287
336 249 5509
285 107 3101
312 99 4471
94 349 1018
419 61 2486
24 402 9376
369 83 9145
40 101 5894
177 132 4249
308 254 454
284 185 6300
162 386 8932
128 355 3268
258 349 981
264 362 9660
219 182 6260
425 105 6703
361 274 4199
372 333 9086
241 296 4569
232 380 9113
62 401 181
113 56 5065
220 418 5953
24 17 2720
2 250 7715
75 192 21
250 168 5450
303 393 2307
282 181 3062
134 68 8002
227 186 9930
254 68 1004
74 304 5694
375 351 1369
217 281 6866
337 242 5208
226 380 8244
324 380 1866
351 333 324
374 302 4070
182 414 5755
413 351 4311
424 36 3005
413 388 2816
32 96 3403
173 361 3731
274 249 7797
16 413 8855
290 412 3287
325 6 2013
113 367 4146
48 145 2569
310 403 2346
370 327 9430
258 276 9244
327 347 3149
243 346 7519
77 34 1450
328 156 9953
258 239 6089
25 390 4212
143 274 7899
134 403 7210
154 32 5133
276 350 5742
307 283 9550
377 271 4469
428 214 8741
360 371 584
10 186 321
138 60 4725
82 295 3198
31 62 6404
263 16 3697
150 330 7894
402 169 6044
224 401 4581
315 325 1302
86 210 5061
258 112 5497
228 422 8269
429 1 3876
186 81 1236
223 316 9048
308 309 389
166 65 3558
230 402 9000
42 109 6936
73 247 8815
380 220 4590
385 375 349
320 338 6656
273 402 7760
148 94 4520
399 128 2067
186 189 8847
378 75 8057
21 162 518
260 388 8618
425 2 9291
74 151 6505
408 276 4041
309 223 6040
254 121 4313
365 354 9853
332 154 3256
161 3 565
427 425 10
107 52 5595
28 341 6029
86 415 6808
90 70 8904
30 223 9841
75 331 3558
364 61 6399
50 390 7807
196 14 4989
392 288 6944
235 309 9662
114 310 5606
291 36 2069
287 201 3049
251 194 4255
84 86 744
67 298 3387
170 350 601
160 270 7584
167 60 2394
321 324 1899
343 55 8364
55 25 3784
350 204 8311
165 8 8690
108 154 959
151 422 9432
375 280 313
135 203 3208
289 96 5034
85 18 9448
377 139 8396
165 52 7906
111 146 1137
163 61 6992
126 53 8017
222 39 1416
224 207 9939
250 232 1394
202 24 7120
79 328 412
89 244 932
346 369 6989
102 208 7946
418 295 2261
78 312 1483
41 293 9060
148 287 2026
24 37 981
217 76 6212
339 115 113
353 392 8230
337 359 7981
274 350 6799
344 105 9346
383 133 7015
87 294 8061
105 360 4618
329 247 7000
205 215 8412
233 214 241
43 185 8284
237 366 938
203 55 6106
70 325 7630
177 202 2500
223 228 5084
230 226 4094
226 361 2172
229 103 711
167 338 3182
28 301 6349
172 263 1142
5 227 903
95 94 3576
291 223 7773
333 396 7681
281 259 6007
134 199 4775
302 58 7669
353 70 7254
333 120 7289
3 176 8707
346 403 3138
261 85 83
273 405 8888
44 272 6567
320 233 1181
253 221 51
377 83 7472
402 43 4560
103 59 1554
23 118 6738
431 274 7401
106 90 6000
12 384 165
61 135 8747
226 57 6828
364 211 8503
393 74 8647
110 428 7971
8 289 9655
282 332 6401
362 148 9349
336 132 3049
420 273 133
237 28 2021
416 198 2746
60 27 8313
237 262 6200
54 196 4077
118 324 5547
376 276 7900
223 375 9841
200 226 7211
413 384 93
329 38 3726
211 329 1027
214 296 9530
403 173 6581
318 190 8708
46 349 469
187 241 7065
10 430 7938
293 2 4136
118 8 713
394 59 1483
11 76 5192
253 297 5018
189 411 3113
431 281 7179
287 71 2482
57 164 7733
364 229 2979
118 172 272
341 114 6310
384 345 7576
346 280 6091
255 6 952
177 266 471
229 383 7199
114 356 8861
90 360 3707
196 259 9636
170 97 6488
22 255 1474
174 395 1037
232 53 5256
296 186 7860
363 283 9323
129 96 1633
367 157 7146
143 293 9034
424 281 8008
212 136 8359
57 298 574
322 110 1716
116 135 6917
371 261 4072
309 167 8197
344 142 6054
402 315 7525
168 83 5092
84 233 2838
8 407 3741
378 404 1722
433 91 5792
237 389 3528
286 165 1018
266 419 9215
218 312 1291
413 308 8094
153 366 8484
400 146 5224
383 44 1596
145 232 4089
118 388 528
108 150 1948
187 425 9958
101 31 2415
221 144 4995
105 246 5681
355 72 1619
17 289 1842
89 316 7061
229 52 5636
209 115 842
65 389 8044
321 217 6862
11 101 5015
90 241 3404
49 74 1729
8 359 1594
353 336 3435
25 417 6848
117 90 8835
344 404 9676
37 222 4072
291 102 933
184 92 2300
164 342 5703
92 276 7431
239 297 4003
352 106 4322
20 432 9186
406 332 6781
416 286 3366
215 429 991
203 292 4291
323 151 6211
370 394 1618
169 374 9370
219 31 7364
206 375 7390
369 310 106
250 71 471
105 58 4830
180 86 5460
225 84 235
210 140 3339
221 83 7721
385 201 4029
146 2 2237
33 381 7588
379 396 2572
273 258 7684
202 95 8110
315 11 3526
14 204 706
395 313 4231
6 235 2752
123 311 8323
409 45 8374
143 384 3260
81 95 3654
193 71 2388
371 117 2594
170 88 3990
238 417 1214
15 271 4908
289 99 1283
263 99 8307
286 91 8997
382 383 7070
144 120 6265
4 424 6689
239 429 2459
27 309 7460
42 208 4448
295 37 6361
39 124 3834
120 289 7290
300 270 7111
105 40 2828
9 80 4733
124 355 5397
302 264 8857
166 242 3221
25 167 2014
222 164 5942
295 362 5587
100 45 51
236 32 1304
36 298 4073
149 249 7968
91 122 6642
113 326 8835
254 364 7140
80 300 1899
38 132 4324
260 178 5676
84 304 7237
229 27 3664
154 131 306
36 323 4232
186 232 8058
242 178 4825
249 152 6991
405 111 2014
104 23 695
29 67 5746
255 261 7352
26 359 6451
136 235 2856
335 246 9394
16 311 798
127 118 5168
145 153 8656
207 209 7186
88 71 6420
34 396 5002
376 76 8520
307 382 7022
95 133 8165
204 7 6021
294 81 8556
293 314 8764
216 388 5479
161 421 2194
278 125 7157
311 370 4693
322 357 477
275 5 8097
274 21 4864
39 288 7435
192 112 6393
100 144 9796
57 303 5171
405 389 6806
155 325 9417
57 390 3699
65 24 1749
15 156 920
257 74 364
49 206 2938
211 74 8034
269 363 2802
143 170 8761
48 233 4568
139 246 3759
290 24 2753
119 386 2905
323 293 9084
136 252 8313
142 165 5108
378 14 1841
60 166 7067
21 7 9549
371 269 7470
328 325 3022
348 162 3362
319 251 2238
18 382 7424
273 191 6071
418 231 6691
387 35 9422
192 116 658
129 320 6544
415 387 8604
10 164 7291
389 230 2020
45 189 9193
272 151 7856
131 84 1630
226 139 7232
325 107 7599
199 308 4411
5 301 3173
146 109 2647
245 168 3750
374 35 6594
356 160 7578
398 15 2310
407 163 3523
215 371 5880
308 192 4489
209 23 7542
53 12 2107
371 192 4083
268 372 4587
98 365 5697
85 78 8070
183 135 6646
311 309 8850
231 422 3454
352 280 4446
181 174 302
368 123 8975
279 35 6066
175 414 7473
363 98 6838
129 292 2533
104 182 7398
77 137 1992
328 415 1593
45 262 2487
324 84 5922
154 9 2658
35 288 2221
302 144 3609
127 221 570
9 342 6051
293 67 7627
288 141 3961
426 185 2223
236 106 995
143 116 1117
244 111 132
317 391 144
164 370 7941
359 348 8108
2 68 6342
16 307 712
268 395 567
92 222 1109
1 219 9439
88 122 2
254 278 5803
284 312 5817
54 100 9756
343 169 7796
21 317 4072
315 280 3819
39 430 4435
263 231 7911
135 175 2192
412 113 9764
160 81 9252
347 305 9666
216 343 6873
409 160 3539
182 5 3880
92 417 298
123 160 6773
237 96 7264
423 191 345
179 237 7011
100 182 4730
265 355 3633
5 338 216
324 376 2418
274 82 8346
177 264 694
149 120 6525
111 72 6404
416 5 1441
77 134 7426
296 389 713
387 74 7103
103 30 2414
318 271 5455
98 258 1319
412 288 429
215 419 5658
252 12 8736
216 94 6631
50 235 1533
91 108 6854
293 340 901
190 100 3340
315 264 4691
233 420 4844
242 100 382
141 142 8899
204 342 6222
349 405 3262
82 139 6717
231 272 3596
399 75 1333
376 145 7208
18 65 1437
163 62 2789
172 18 5960
140 258 1645
60 287 2720
316 373 9235
12 269 8984
61 30 9392
140 264 1171
386 379 7776
351 386 7971
383 329 4507
108 261 1406
123 55 5449
416 166 9589
376 45 7968
429 201 4514
317 294 3461
241 132 5312
142 317 3670
205 49 8227
144 364 969
265 230 5797
47 130 6739
262 371 9045
136 101 5289
213 414 2380
216 42 9738
84 351 4606
255 389 1020
17 363 6188
269 198 1545
25 118 9881
156 370 6210
258 24 5825
348 180 7797
93 27 1360
105 165 1851
117 158 2308
232 103 254
428 371 6168
196 355 1668
189 30 7612
417 256 5405
378 309 6849
154 22 1530
27 275 3769
256 310 4431
286 54 6975
91 123 6714
117 221 3667
55 181 6062
337 159 1218
222 305 4931
82 106 292
421 396 2697
61 243 7435
407 85 3236
399 275 9839
313 257 1849
282 273 9342
424 20 5800
199 272 5472
363 109 1886
368 415 3955
112 87 1151
356 187 1270
347 135 8375
370 221 1613
170 334 9643
353 11 5421
141 214 8762
409 147 1334
289 282 7100
133 14 1463
407 85 4921
219 391 8058
146 35 8291
25 89 6402
294 151 2069
86 189 9302
269 302 823
194 171 9989
2 96 721
25 102 7950
392 100 8318
38 199 8171
230 58 7647
50 280 9980
133 375 5010
367 213 937
380 240 7102
284 417 9304
124 383 9366
413 252 5525
268 332 5383
121 308 6442
30 402 2675
201 52 6105
60 67 8343
71 117 8089
364 21 4409
173 189 2418
53 154 7097
261 403 8249
401 390 985
75 322 6576
420 414 9431
238 428 1489
80 281 1855
161 296 8948
148 95 5719
190 205 9342
247 278 9806
202 20 4182
343 153 6773
84 111 9543
197 131 663
29 308 483
65 127 8982
326 333 1171
64 284 7985
231 14 6526
350 14 8801
106 129 7825
78 125 1825
30 269 9832
141 251 991
69 222 5274
224 172 1487
76 313 7974
130 18 9175
249 415 5849
299 394 4063
68 197 3617
302 18 6408
223 22 9771
156 305 6633
155 310 6426
295 430 6989
388 172 6528
349 358 7640
203 272 2394
252 120 132
176 1 659
206 220 860
3 260 7508
423 273 6497
279 40 8488
311 429 315
80 69 3665
282 370 3354
246 426 7368
364 39 4934
307 302 8502
349 381 8600
433 119 699
301 203 7334
189 54 5849
286 235 5163
206 122 3116
19 63 385
13 344 6144
39 97 2594
359 195 148
362 317 6072
162 156 9477
157 79 3780
303 162 1966
273 223 3164
299 301 4362
153 414 8439
206 76 3035
252 424 6895
419 113 149
108 175 3455
380 234 378
207 413 8424
404 55 441
108 315 4917
31 330 8518
175 391 8556
323 427 1089
9 302 3483
125 317 672
346 67 1157
374 90 6242
230 5 273
432 110 9638
313 332 7483
165 60 8969
28 248 9916
120 70 708
247 402 3842
99 92 5557
250 322 5058
148 319 2064
230 208 2403
24 161 9854
15 296 6382
78 365 1502
179 158 2279
377 358 4448
248 352 3746
362 317 3421
358 336 915
197 353 8740
3 182 4569
264 11 5880
286 49 410
293 98 9427
250 336 7802
381 216 4089
336 369 5728
98 346 2554
302 216 8886
39 307 8583
359 165 4240
211 107 9777
402 318 1182
403 260 5939
64 413 9366
330 97 4084
65 99 8095
41 309 7944
234 217 5541
381 16 5942
124 386 1211
382 233 2806
182 41 7878
275 404 9159
79 299 855
300 148 8892
214 370 4070
201 299 6486
242 238 3208
334 168 7855
219 285 9165
120 227 8060
126 309 417
305 209 6647
93 225 8879
132 302 4914
417 30 8841
337 341 2739
51 369 5514
365 341 2402
364 139 8338
68 328 1209
206 387 7144
179 429 7324
372 378 4039
23 10 6655
100 39 5606
337 415 5338
207 132 7444
21 256 166
298 235 3095
239 188 143
410 207 7765
258 340 190
395 144 2927
329 315 6830
383 183 7144
131 120 7937
404 132 2047
433 264 9033
43 285 4046
340 272 5306
324 204 872
168 261 4809
68 172 2818
84 66 7425
196 352 9897
340 428 9073
257 241 7692
255 166 3971
195 264 311
432 64 5049
178 24 9393
388 393 3192
340 308 7416
35 162 8808
63 105 7670
50 210 2311
60 263 1716
33 94 6033
376 157 9075
58 386 288
349 304 2519
409 153 7179
323 92 7163
297 153 5395
320 143 8706
98 256 6943
44 149 5337
333 334 1342
184 71 1288
426 293 5571
313 194 2201
171 62 5697
317 265 868
376 375 3235
431 31 3869
194 218 2668
348 125 5054
231 275 5072
367 25 338
246 392 7516
363 8 8004
371 331 1196
181 82 6635
167 146 1735
421 150 8007
114 313 6769
20 409 6683
28 387 2167
216 20 2903
188 61 7965
140 262 345
310 407 2560
111 383 5437
27 433 2490
88 332 9113
394 92 365
37 50 6834
26 299 6562
254 192 889
320 112 7454
394 384 5476
226 203 3507
336 37 3594
408 260 6606
305 263 5777
200 77 4030
99 309 1330
149 406 1785
96 350 4114
264 214 8656
386 275 5628
335 117 3035
429 21 2072
43 36 9373
195 420 3024
392 53 3736
390 36 5572
353 144 7920
180 53 9297
390 40 6254
337 386 9459
227 10 2905
144 387 5503
187 43 9040
264 432 2357
120 306 8216
93 267 6035
433 163 9945
31 242 9211
380 163 4720
359 10 3926
355 32 8656
398 401 2417
325 427 8802
350 90 4417
13 125 7741
89 179 6452
271 345 8231
168 113 1214
125 104 3162
357 405 9083
413 279 7308
398 361 872
28 204 5493
353 209 3249
84 423 811
112 317 8266
34 121 7538
204 29 6545
20 243 4583
274 337 6962
281 276 6788
134 88 6966
389 31 5701
257 53 9328
144 40 9261
164 393 7361
80 402 2368
84 67 1522
83 272 385
251 131 28
374 273 4376
298 353 5733
177 171 9218
79 258 7282
191 25 693
25 106 7190
166 124 5928
242 129 5138
256 406 2385
289 239 4477
265 91 3202
305 405 9515
274 210 6991
218 357 1123
304 420 5158
251 108 2612
272 301 8102
318 154 2813
323 110 9641
127 301 9521
237 113 5765
217 220 8810
256 319 8325
353 96 6361
169 180 5894
119 35 8888
37 347 2703
37 116 9708
71 188 4127
383 426 3641
219 96 7333
98 128 9580
348 6 9760
269 94 9796
372 389 617
70 223 2915
182 66 231
159 189 1197
346 274 4597
91 315 9169
93 262 2092
83 353 216
398 159 9407
165 7 9361
404 256 8494
10 138 1021
259 4 3201
428 79 9488
323 226 9045
144 265 7866
55 427 9119
212 301 4919
120 81 429
162 71 3973
252 292 8262
63 274 9189
114 273 1994
352 429 3027
94 356 4699
66 44 1136
132 248 2330
400 281 5614
185 208 566
2 274 3298
388 87 9957
143 406 4809
250 330 767
95 229 4414
330 416 3298
132 228 5663
30 429 7030
64 273 9490
14 385 3257
300 20 442
266 320 4053
310 291 8935
309 217 2462
312 298 7833
258 285 4535
279 225 4318
101 213 5046
247 186 5837
121 1 7963
185 280 8203
62 379 4177
392 316 3203
372 207 8117
260 394 913
63 193 3672
353 127 4742
380 169 7962
410 20 9310
40 192 750
261 4 2847
187 262 1603
28 257 622
284 360 7416
260 397 3695
50 160 9280
267 51 4764
16 240 2162
219 235 4854
47 329 2331
154 151 7847
262 8 4549
92 7 3783
385 285 3541
82 37 6284
148 432 9843
373 225 1457
363 206 5443
377 308 6846
375 153 7854
284 115 2782
103 401 3480
175 342 6827
268 256 6027
191 11 9196
245 213 7246
385 60 6553
168 113 8209
253 127 7473
126 140 9062
399 115 1020
193 216 8898
109 111 4298
2 156 6899
382 208 5059
322 132 1529
197 21 5588
363 150 2001
251 89 9279
109 128 8629
205 175 2381
432 401 4732
402 88 232
60 312 5366
328 220 971
113 196 2386
186 219 3101
11 294 924
302 129 7649
53 222 3769
57 143 9841
138 243 2296
359 206 963
47 121 9022
370 95 2499
389 351 590
157 293 9595
329 207 9716
413 181 5512
401 101 4456
111 341 1961
128 222 9046
265 212 4608
341 159 9296
135 409 3657
305 429 1805
183 276 8915
391 355 6927
233 311 4193
32 319 2695
153 358 4711
409 402 5323
366 246 9264
43 348 3117
417 253 2246
194 154 325
30 267 3388
34 424 7239
426 300 6448
18 155 1367
431 254 9413
307 362 6778
217 140 2109
101 366 6369
112 301 8578
77 262 7588
230 227 7636
130 376 1019
324 381 7454
197 99 2450
59 16 6816
51 207 8862
216 278 3987
382 53 4092
147 389 3882
413 410 4309
273 201 3529
360 73 6808
240 69 1072
125 48 4161
373 352 7826
74 181 4072
66 236 8222
61 84 5891
220 259 196
381 135 9734
2 288 8476
132 339 6163
238 316 6385
383 305 5588
224 408 5139
88 78 802
136 268 5708
320 59 8316
34 337 4994
1 344 673
431 62 5643
26 268 1187
433 319 8325
197 278 7212
14 64 3947
310 107 8049
64 124 8378
256 383 8922
222 347 123
115 2 2215
394 63 3154
28 8 2822
252 185 8025
47 38 6187
413 205 1468
144 309 8046
363 223 9992
137 73 5526
316 400 6891
5 366 634
110 301 6489
380 399 2931
267 317 8827
370 296 7856
43 426 8309
356 204 8973
324 154 3353
147 217 7156
414 213 5049
239 285 5674
403 151 2406
15 268 887
138 428 2305
336 104 7686
219 299 1539
161 147 514
139 162 9011
209 309 2704
64 96 3217
210 278 4320
416 226 7284
256 33 2558
257 409 9315
363 160 8283
268 128 5648
58 150 9230
107 9 9777
214 397 4578
351 161 8212
399 209 8515
377 318 5175
300 26 8329
332 71 907
385 343 4440
81 432 431
118 64 3539
367 341 2738
213 261 7732
184 68 8381
288 60 7028
280 212 8404
131 187 1264
173 259 144
14 187 6404
231 154 5024
227 409 248
301 84 2589
116 184 7410
357 104 7413
14 350 5814
95 99 3286
155 321 7111
68 86 6199
433 345 3512
171 48 3686
244 402 5071
148 26 6896
154 306 2587
104 278 5775
143 216 1969
34 190 8739
27 115 4906
144 166 5150
425 427 3083
229 102 439
107 430 6704
350 272 5418
13 387 2965
124 364 9781
341 253 4246
117 269 9739
207 232 1016
362 72 2988
40 415 4855
424 392 6667
113 63 9800
162 207 8149
427 271 3360
323 193 6488
198 170 7651
392 94 2661
388 334 1155
232 352 244
396 139 8830
132 369 423
190 118 8710
57 181 5111
236 179 2875
115 141 4588
63 318 6023
305 420 1854
248 152 819
315 346 7822
224 181 4365
156 163 9882
388 201 8459
325 198 5855
22 304 4784
166 262 4562
57 89 7672
185 51 2007
175 229 11
194 25 6346
74 316 352
184 210 9587
46 158 4365
33 141 837
429 351 3503
198 343 9371
53 45 7632
404 288 5936
266 400 3295
12 170 4512
245 149 2533
371 198 6189
267 128 2253
218 406 3082
402 398 6492
206 292 1708
172 264 613
274 408 8287
278 363 230
94 279 7260
349 245 9903
367 105 6171
355 397 8648
294 391 9440
176 197 7107
96 306 3727
392 295 2917
330 58 9645
252 220 4973
367 420 6207
173 192 6044
128 215 1187
43 22 7574
103 100 9569
6 319 712
359 128 8154
219 256 7616
223 231 6731
99 181 4138
234 12 6780
292 55 1871
134 404 1944
308 300 9539
10 97 556
191 326 7132
327 390 5759
187 174 1792
394 313 2194
288 195 7957
321 343 6604
427 319 8100
308 22 2347
387 319 5515
210 90 2603
128 174 8285
366 183 4043
145 42 2186
44 234 732
229 411 8688
362 9 5291
40 280 9743
3 110 2089
411 342 7604
302 169 206
145 427 9608
403 279 9923
58 189 4399
56 387 6495
423 22 2020
333 232 8107
324 97 9039
51 338 552
301 88 511
253 258 3411
180 368 612
226 3 536
167 191 6111
276 214 1530
42 430 417
181 111 1481
28 164 8320
131 116 7347
116 318 6916
121 358 1274
73 374 7925
90 12 8801
375 325 649
414 83 9301
253 20 8194
164 354 3309
114 328 8994
406 50 2287
183 356 4331
2 343 27
398 211 2283
377 211 707
123 149 5221
427 41 2928
171 315 3970
165 102 6717
174 404 1979
254 179 2444
101 49 5014
342 416 200
248 275 4116
226 294 7374
412 145 509
321 283 5982
163 423 1676
34 211 8006
112 331 9157
130 61 7096
246 396 1874
5 244 4054
295 238 3966
163 390 9533
166 133 9557
141 291 4686
156 239 571
403 223 1759
270 69 7909
101 224 5311
402 391 1659
93 71 8579
116 264 2450
386 220 1906
98 406 1300
159 208 4909
193 200 6604
362 112 9411
228 222 3694
170 225 7782
272 129 7768
96 278 5015
6 297 6076
147 378 1417
197 294 8412
385 101 3921
188 343 3925
144 180 100
429 15 9507
81 268 8597
227 134 7170
158 287 747
125 206 3383
221 361 8097
45 337 4423
111 384 5565
204 90 2560
128 38 5979
5 249 6635
227 273 3380
47 209 6933
197 239 9896
382 105 9902
406 320 9402
361 139 301
351 105 3897
270 33 7802
345 314 8621
272 121 5763
117 373 9273
9 386 3286
168 163 9215
394 73 8428
417 157 3352
61 352 5402
94 403 9341
431 342 9090
393 233 2221
275 96 1538
212 21 2898
154 390 4897
359 225 4705
256 227 5772
146 115 5128
323 341 3574
269 72 5531
145 283 6565
408 225 9235
105 224 5871
387 221 9459
278 368 3379
279 345 4562
91 147 5609
71 137 6420
320 408 6397
121 227 2192
52 99 7701
91 83 3429
266 394 1645
241 117 815
48 119 210
148 150 3117
25 105 1453
309 13 3646
347 199 3047
346 340 7761
196 344 776
409 276 3887
37 165 6609
22 302 9535
34 186 9211
344 111 533
93 44 910
93 136 6112
140 50 1268
194 143 2655
433 115 9450
322 129 923
97 250 2660
90 70 4180
35 21 1292
105 165 80
14 107 5104
305 241 1972
272 94 7104
313 331 5952
147 142 8002
390 326 10
324 1 2702
26 359 425
278 226 3993
266 403 7265
298 339 6059
416 152 1829
182 378 4570
174 101 3682
409 2 6923
4 112 5860
222 146 4913
53 305 5337
233 70 5682
319 410 9298
304 241 5356
238 29 3536
277 103 8106
2 278 8139
30 196 5061
29 370 6483
234 377 3899
408 377 1765
179 50 1367
354 248 5905
181 397 9113
166 350 5633
52 370 2569
68 87 8296
20 205 7487
337 300 3324
326 374 3558
71 14 8598
366 361 2091
255 155 9918
115 26 9798
69 345 2794
122 123 7350
147 327 2658
54 234 6569
392 313 8579
174 105 901
332 378 8447
414 111 6554
240 73 3606
429 371 2548
239 290 1441
309 189 3819
363 263 7787
23 420 4188
176 126 5378
418 122 6895
37 381 9933
253 153 5312
272 198 4398
392 411 392
298 314 1461
26 10 535
419 210 2885
81 161 454
344 330 7082
301 351 6091
54 78 1038
224 299 522
350 126 9336
41 111 7397
39 197 855
151 189 9799
416 400 634
284 396 9666
29 293 9814
222 101 6009
245 283 9151
164 42 392
343 164 3579
46 304 1375
240 177 9974
392 81 3520
68 338 9480
56 174 8344
38 324 4300
432 98 9076
60 303 9568
389 226 2060
46 16 8216
154 378 6080
260 77 5101
246 332 4034
257 193 6117
7 112 4235
433 36 5193
361 181 6072
324 97 2962
107 112 9605
36 308 169
129 127 341
317 175 223
112 252 4316
297 269 8771
106 331 4221
10 379 332
165 171 9621
142 57 5391
66 235 9497
172 225 2330
401 347 3820
359 276 5342
122 155 6869
239 232 4623
414 260 8085
232 423 8302
84 184 3221
400 247 4622
311 287 8423
41 212 333
224 203 4919
228 99 8259
110 217 1807
303 16 9594
54 211 4090
416 254 3177
412 196 8400
315 171 5829
193 43 8427
325 299 2150
402 188 813
104 196 1109
51 305 9612
284 234 4285
106 283 3898
10 87 9023
406 66 6345
326 325 9130
258 224 5474
283 152 4871
305 109 2356
188 59 1747
353 284 2034
419 376 2789
16 27 8634
151 249 7655
189 117 4504
181 345 2402
352 331 5970
259 77 6334
370 157 7476
264 391 664
289 380 4158
105 37 6116
223 187 6130
333 248 4643
270 355 1183
327 287 501
333 85 8426
231 361 3383
189 34 3875
422 384 712
365 294 5004
36 314 2712
63 267 4474
301 386 7833
266 205 869
171 388 7222
351 133 8724
360 296 7202
31 16 3877
359 130 1104
296 208 630
320 49 840
340 36 4521
362 126 3011
126 296 7612
432 218 9179
138 164 113
396 31 9087
54 274 6082
321 388 1278
413 420 1690
314 107 5124
22 288 398
375 49 3642
429 209 9498
268 411 1854
298 189 4857
52 276 5988
328 69 5927
319 168 1250
148 382 2670
254 36 5190
56 110 7872
393 95 5191
205 188 1330
238 340 806
430 423 3544
167 6 8267
156 118 8529
146 397 4558
276 201 1104
125 185 1502
42 305 6591
275 217 7242
227 420 6465
111 132 1872
282 35 8993
315 53 7939
222 379 7796
86 259 999
383 41 8824
45 354 5665
83 126 3941
229 211 3105
396 220 446
60 191 5461
262 204 6356
298 110 7987
19 245 2692
75 415 2751
15 80 9412
52 288 1697
262 318 1147
114 11 1985
172 255 9402
192 53 4727
98 35 5116
322 251 7760
156 306 3631
196 429 4904
239 169 2488
88 51 3840
430 318 4108
327 56 8938
337 138 5572
293 394 6826
189 353 4572
310 75 3251
402 272 6881
62 170 8136
13 88 6975
195 418 7166
231 353 7625
324 66 6563
395 97 8486
184 204 5312
93 199 6235
315 27 6739
349 323 2949
118 429 6083
221 46 7412
335 366 677
183 29 1636
63 89 9988
57 162 4887
64 188 2283
263 265 7236
98 362 6179
22 196 9127
347 327 5210
433 133 8973
382 194 9649
334 375 7636
237 77 7624
427 419 8862
297 166 1144
271 35 4731
151 254 4947
137 388 5573
121 33 7890
93 102 7079
23 40 7981
205 226 6795
333 343 4928
118 48 977
361 417 6488
336 308 4323
120 152 5540
87 335 8096
379 108 6827
191 11 7407
101 261 8838
122 313 7287
303 150 193
198 209 4263
285 187 1038
353 210 1022
50 223 3653
57 283 5111
18 340 873
105 348 9796
148 95 7205
